123,4.1,76714,0,1.25,1.4951,14,564,6408,2,2G,2G,0
1316,43.87,98.8904,4.14,1.25,1.0244,27,1626,4373,1,2G,2G,0
2385,79.5,372.63,3.51,1.25,6.0898,119,10411,22039,1,2G,2G,0
1614,53.8,530.2,6.85,1.25,3.3447,69,6822,6274,1,2G,2G,0
2175,72.5,554.13,6.99,153.75,673204.0342,33,3387,7241,1,2G,3G,0
158,5.27,792.1144,28.63,108.75,107713582,101,7296,16636,1,2G,2G,0
110,3.67,1090.5,1.75,0,14.9102,303,22176,71699,2,2G,2G,0
558,18.6,29.5464,7.17,0,19.1533,4,12,444,1,2G,2G,1
115,3.83,62252,6.76,11.25,201352709,13,0,3563,1,2G,3G,1
1868,62.27,120.1204,23.49,31.25,440.1846,23,0,4254,1,2G,2G,1
1196,39.87,155.0008,24.26,2.5,254941.6182,13,0,3810,1,2G,2G,1
174,5.8,156772,31.94,6.25,201527.4873,23,144,1487,1,2G,2G,1
122,4.07,161.1,0,0,32459,152,1176,13119,6,2G,2G,1
441,14.7,169.5648,45.6,3.75,6635.3525,26,48,5457,1,2G,2G,1
2132,71.07,647.2068,14.81,0,6050709,200,6276,22607,1,2G,2G,1
180,6,687.11,136.56,22.5,17036.7813,143,1956,11768,1,2G,2G,1
114,3.8,822258,6.24,106.25,3071059907,52,228,24088,2,2G,2G,1
3496,116.53,1160.93,121.27,7.5,71.9365,200,17408,68500,2,2G,2G,1
422,14.07,1170.17,27.4,7.5,106.0205,293,4434,91967,1,2G,2G,1
1914,63.8,1592.72,23.26,2.5,11.6113,375,25523,99000,1,2G,2G,1
1822,60.73,1621.36,100.98,12.5,198.5088,339,12645,109895,1,2G,2G,1
120,4,61.29,3.5,0,0.2998,23,1116,4041,1,2G,2G,0
2372,79.07,96.13,15.45,16.25,29459,15,502,3191,2,2G,2G,0
3500,116.67,100.71,1.76,0,526910.4775,2,0,185,3,2G,2G,0
121,4.03,125122,0.5,78.75,1674288928,9,729,1908,1,2G,3G,0
2417,80.57,142.03,7.05,1.25,36694.3652,13,2421,967,1,2G,2G,0
204,6.8,162.9344,9.66,58.75,581798.6514,9,120,2000,1,2G,3G,0
3291,109.7,199188,0.01,92.5,87203.6817,4,0,549,5,2G,2G,0
847,28.23,222.7304,0,55,755157.4844,12,2409,1037,1,2G,2G,0
1038,34.6,261.8384,23.65,10,7982150938,29,2940,6631,4,2G,3G,0
1758,58.6,311.0628,0,55,179282.8418,11,1092,904,1,2G,2G,0
1262,42.07,311.65,17.5,3.75,95451.3741,5,275,358,1,2G,2G,0
2132,71.07,332.8,5.25,21.25,7639898588,30,1937,3547,3,2G,3G,0
3352,111.73,397296,107.1,30,40258.2734,16,801,2043,2,2G,2G,0
2067,68.9,423.61,135.66,21.25,3854166,15,2571,1207,1,2G,2G,0
1070,35.67,427.3776,1.75,26.25,16845.0557,176,5263,7771,2,2G,3G,0
567,18.9,534.5204,20.05,0,87299.6885,30,945,1923,1,2G,2G,0
3713,123.77,726.14,2.42,92.5,13224193.42,38,1320,6685,1,2G,3G,0
185,6.17,746098,105.94,2.5,7210998,33,1296,4609,2,2G,2G,0
1426,47.53,1158.8744,12.89,2.5,12780320.19,671,5634,7794,1,2G,2G,0
